date,state,district,daily_enrollments,enrollment_sum,age_0_5_sum,age_5_17_sum,age_18_plus_sum,infant_ratio,youth_ratio,adult_ratio,anomaly_label,anomaly_score
2025-03-15,Assam,Marigaon,3,48,48,43,206,0.1610738255033557,0.14429530201342283,0.6912751677852349,-1,-0.012453875187946495
2025-03-15,Meghalaya,West Khasi Hills,1,34,34,10,148,0.17616580310880828,0.05181347150259067,0.7668393782383419,-1,-0.03552424971561019
2025-03-20,Assam,Sonitpur,1,10,10,28,43,0.12195121951219512,0.34146341463414637,0.524390243902439,-1,-0.007352136919031471
2025-03-20,Meghalaya,West Khasi Hills,1,20,20,19,202,0.08264462809917356,0.07851239669421488,0.8347107438016529,-1,-0.05277111918300392
2025-03-23,Meghalaya,East Khasi Hills,1,11,11,11,115,0.07971014492753623,0.07971014492753623,0.8333333333333334,-1,-0.05326411222027394
2025-05-01,Assam,Darrang,1,87,87,53,308,0.19376391982182628,0.11804008908685969,0.6859688195991092,-1,-0.015783756812378424
2025-05-01,Meghalaya,East Khasi Hills,20,768,768,2259,1867,0.15689479060265576,0.46149131767109297,0.38140960163432075,-1,-0.01488355094639926
2025-06-01,Meghalaya,East Garo Hills,2,70,70,469,341,0.07945516458569807,0.5323496027241771,0.3870601589103292,-1,-3.5809346235926576e-05
2025-06-01,Meghalaya,East Khasi Hills,13,287,287,1875,978,0.09137217446673034,0.5969436485195797,0.3113658070678128,-1,-0.0008103925832355641
2025-06-01,Meghalaya,South Garo Hills,3,42,42,197,312,0.07608695652173914,0.35688405797101447,0.5652173913043478,-1,-0.010308430758257048
2025-06-01,Meghalaya,West Khasi Hills,2,129,129,1296,752,0.05922865013774105,0.5950413223140496,0.34527089072543615,-1,-0.0003602227508084921
2025-07-01,Meghalaya,East Garo Hills,2,73,73,606,387,0.06841611996251172,0.5679475164011246,0.3626991565135895,-1,-0.006311805312076868
2025-07-01,Meghalaya,East Khasi Hills,21,756,756,3426,2404,0.11477151965993623,0.5201153787763777,0.36496128738424166,-1,-0.017333556267764116
2025-07-01,Meghalaya,North Garo Hills,1,22,22,97,125,0.08979591836734693,0.39591836734693875,0.5102040816326531,-1,-0.0011421687668613512
2025-09-01,Assam,West Karbi Anglong,5,1,1,1,10,0.07692307692307693,0.07692307692307693,0.7692307692307693,-1,-0.046591243870519605
2025-09-01,Meghalaya,East Khasi Hills,25,21,21,78,94,0.10824742268041238,0.4020618556701031,0.4845360824742268,-1,-0.03354150017330193
2025-09-01,Meghalaya,Ri Bhoi,6,6,6,20,31,0.10344827586206896,0.3448275862068966,0.5344827586206896,-1,-0.003273480396267625
2025-09-01,Mizoram,Saitual,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-01,Nagaland,Meluri,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-01,West Bengal,Kalimpong,2,0,0,1,3,0.0,0.2,0.6,-1,-0.021876109719325743
2025-09-02,Assam,West Karbi Anglong,3,2,2,0,4,0.2857142857142857,0.0,0.5714285714285714,-1,-0.02211360712019217
2025-09-02,Meghalaya,East Khasi Hills,24,24,24,46,45,0.20689655172413793,0.39655172413793105,0.3879310344827586,-1,-0.016465717711390715
2025-09-02,Nagaland,Chumukedima,4,0,0,1,4,0.0,0.16666666666666666,0.6666666666666666,-1,-0.03723756133983658
2025-09-02,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-02,West Bengal,Kalimpong,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-03,Madhya Pradesh,Maihar,2,1,1,0,2,0.25,0.0,0.5,-1,-0.013568767569765994
2025-09-03,Meghalaya,East Khasi Hills,21,16,16,35,42,0.1702127659574468,0.3723404255319149,0.44680851063829785,-1,-0.01618946842871627
2025-09-03,Nagaland,Chumukedima,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-09-03,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-04,Meghalaya,East Khasi Hills,21,13,13,34,40,0.14772727272727273,0.38636363636363635,0.45454545454545453,-1,-0.018064306806859887
2025-09-04,Meghalaya,South Garo Hills,4,3,3,10,22,0.08333333333333333,0.2777777777777778,0.6111111111111112,-1,-0.012453979563877615
2025-09-04,Nagaland,Longleng,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-05,Assam,West Karbi Anglong,3,0,0,0,6,0.0,0.0,0.8571428571428571,-1,-0.07184163478525674
2025-09-05,Chhattisgarh,Bijapur,3,2,2,5,14,0.09090909090909091,0.22727272727272727,0.6363636363636364,-1,-0.00902315401809084
2025-09-05,Ladakh,Leh,2,1,1,0,2,0.25,0.0,0.5,-1,-0.013568767569765994
2025-09-05,Meghalaya,East Khasi Hills,26,22,22,88,55,0.13253012048192772,0.5301204819277109,0.3313253012048193,-1,-0.02210004928055509
2025-09-05,Nagaland,Peren,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-05,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-05,Tamil Nadu,Chengalpattu,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-06,Assam,West Karbi Anglong,4,2,2,1,11,0.13333333333333333,0.06666666666666667,0.7333333333333333,-1,-0.03526453587048495
2025-09-06,Karnataka,Bengaluru South,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-06,Meghalaya,South West Khasi Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-07,Rajasthan,Chittaurgarh,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-08,Meghalaya,East Khasi Hills,22,19,19,40,54,0.16666666666666666,0.3508771929824561,0.47368421052631576,-1,-0.017558358102273908
2025-09-08,Mizoram,Kolasib,2,1,1,0,3,0.2,0.0,0.6,-1,-0.02676094198389234
2025-09-08,Nagaland,Niuland,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-09,Assam,West Karbi Anglong,4,0,0,1,4,0.0,0.16666666666666666,0.6666666666666666,-1,-0.03723756133983658
2025-09-09,Meghalaya,East Khasi Hills,21,23,23,74,51,0.15436241610738255,0.4966442953020134,0.3422818791946309,-1,-0.0016479627851621048
2025-09-10,Meghalaya,East Garo Hills,4,1,1,16,12,0.03333333333333333,0.5333333333333333,0.4,-1,-0.014814746406301205
2025-09-10,Meghalaya,East Khasi Hills,23,20,20,56,38,0.17391304347826086,0.48695652173913045,0.33043478260869563,-1,-0.0036873907834352737
2025-09-10,Meghalaya,South Garo Hills,5,0,0,21,6,0.0,0.75,0.21428571428571427,-1,-0.008718582046472023
2025-09-10,Nagaland,Chumukedima,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-10,Nagaland,Zunheboto,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
2025-09-11,Dadra and Nagar Haveli and Daman and Diu,Diu,1,0,0,1,2,0.0,0.25,0.5,-1,-0.004045743520228462
2025-09-11,Madhya Pradesh,Pandhurna,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-11,Meghalaya,East Jaintia Hills,2,1,1,7,9,0.05555555555555555,0.3888888888888889,0.5,-1,-0.0013446267686089142
2025-09-11,Meghalaya,East Khasi Hills,19,16,16,18,47,0.1951219512195122,0.21951219512195122,0.573170731707317,-1,-0.012789706774063103
2025-09-11,Nagaland,Noklak,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-11,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-12,Assam,West Karbi Anglong,4,2,2,4,16,0.08695652173913043,0.17391304347826086,0.6956521739130435,-1,-0.02416049444266044
