State,District,Pincode,0-5 Age,5-17 Age,18+ Age,Total Enrolments,Child %
Andaman and Nicobar Islands,Nicobar,744301,56,11,0,67,100.0
Andaman and Nicobar Islands,Nicobar,744302,3,0,0,3,100.0
Andaman and Nicobar Islands,Nicobar,744303,4,0,0,4,100.0
Andaman and Nicobar Islands,Nicobar,744304,1,0,0,1,100.0
Andaman and Nicobar Islands,Nicobars,744301,1,0,0,1,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744201,11,1,0,12,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744202,49,3,0,52,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744203,5,0,0,5,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744204,20,0,0,20,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744205,26,0,0,26,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744209,8,0,0,8,100.0
Andaman and Nicobar Islands,North and Middle Andaman,744210,9,0,0,9,100.0
Andaman and Nicobar Islands,South Andaman,744101,30,3,0,33,100.0
Andaman and Nicobar Islands,South Andaman,744102,30,3,0,33,100.0
Andaman and Nicobar Islands,South Andaman,744103,59,2,0,61,100.0
Andaman and Nicobar Islands,South Andaman,744104,6,0,0,6,100.0
Andaman and Nicobar Islands,South Andaman,744105,75,1,0,76,100.0
Andaman and Nicobar Islands,South Andaman,744106,18,3,0,21,100.0
Andaman and Nicobar Islands,South Andaman,744107,16,1,0,17,100.0
Andaman and Nicobar Islands,South Andaman,744112,4,0,0,4,100.0
Andaman and Nicobar Islands,South Andaman,744206,32,2,0,34,100.0
Andaman and Nicobar Islands,South Andaman,744207,16,2,0,18,100.0
Andhra Pradesh,Adilabad,504001,65,4,0,69,100.0
Andhra Pradesh,Adilabad,504101,12,0,0,12,100.0
Andhra Pradesh,Adilabad,504102,16,1,0,17,100.0
Andhra Pradesh,Adilabad,504103,30,5,0,35,100.0
Andhra Pradesh,Adilabad,504104,1,1,0,2,100.0
Andhra Pradesh,Adilabad,504105,2,0,0,2,100.0
Andhra Pradesh,Adilabad,504106,19,3,1,23,95.65
Andhra Pradesh,Adilabad,504109,19,2,0,21,100.0
Andhra Pradesh,Adilabad,504201,32,1,0,33,100.0
Andhra Pradesh,Adilabad,504203,9,3,0,12,100.0
Andhra Pradesh,Adilabad,504204,12,8,0,20,100.0
Andhra Pradesh,Adilabad,504205,11,2,0,13,100.0
Andhra Pradesh,Adilabad,504206,8,1,0,9,100.0
Andhra Pradesh,Adilabad,504207,25,3,0,28,100.0
Andhra Pradesh,Adilabad,504208,39,5,0,44,100.0
Andhra Pradesh,Adilabad,504209,12,1,0,13,100.0
Andhra Pradesh,Adilabad,504214,18,8,0,26,100.0
Andhra Pradesh,Adilabad,504215,32,8,0,40,100.0
